abiotic entity,Abiotic_Entity
absent,Quality
abundant,Quality
adaptability,Quality
adaptation,Eventuality
biological adaptation,Eventuality
adult,Biotic_Entity
aggressive mimicry,Quality
algae,Biotic_Entity
algivore,Biotic_Entity
all living organisms,Biotic_Entity
alternative prey,Biotic_Entity
ambush predator,Biotic_Entity
sit and wait predator,Biotic_Entity
anabolism,Eventuality
animal migration,Eventuality
animal material,Biotic_Entity
animal remains,Biotic_Entity
animal tissue,Biotic_Entity
animals,Biotic_Entity
top predator,Biotic_Entity
apex predator,Biotic_Entity
aposematism,Quality
aquatic,Quality
area,Abiotic_Entity
spatial Object,Abiotic_Entity
arrangement,Quality
asexual reproduction,Eventuality
assimilation,Eventuality
atmosphere,Abiotic_Entity
atom,Abiotic_Entity
attack,Eventuality
automimicry,Quality
autotroph,Biotic_Entity
primary producer,Biotic_Entity
producer,Biotic_Entity
autotrophic organism,Biotic_Entity
complete autotroph,Biotic_Entity
autotrophic,Quality
avoid detection,Eventuality
bacteria,Biotic_Entity
bacterial,Quality
bacterivore,Biotic_Entity
bactivory,Eventuality
basal species,Biotic_Entity
base,Aggregate_Biotic_Abiotic_Entity
Batesian mimicry,Quality
behavior,Eventuality
biofilm,Biotic_Entity
biomass,Biotic_Entity
biomass,Quality
body mass,Quality
biomass,Quality
biomineralization,Eventuality
biotic entity,Biotic_Entity
bite,Eventuality
bottom-up control,Eventuality
bottom-up interaction,Eventuality
bottom-up effect,Eventuality
calcification,Eventuality
caloric need,Quality
camoflage,Quality
cryptic coloration,Quality
cannibalism,Eventuality
capture,Eventuality
subdue,Eventuality
carbohydrate molecule,Biotic_Entity
carbohydrate,Biotic_Entity
carbon,Abiotic_Entity
carbon cycle,Eventuality
carbon fixation,Eventuality
carnivore,Biotic_Entity
carnivorous,Quality
carnivory,Eventuality
carrion,Biotic_Entity
catabolism,Eventuality
cell,Biotic_Entity
cell division,Eventuality
cell growth,Eventuality
cell parts,Biotic_Entity
cellularity,Quality
cellulose,Biotic_Entity
chemical digestion,Eventuality
chemical energy,Abiotic_Entity
chemical reaction,Eventuality
chemoautotrophic,Quality
chemolithotroph,Biotic_Entity
chew,Eventuality
climate,Quality
climate pattern,Abiotic_Entity
coastal zone,Aggregate_Biotic_Abiotic_Entity
color,Quality
common,Quality
community,Biotic_Entity
community-level cascades,Eventuality
competition,Eventuality
competitor,Biotic_Entity
complexity,Quality
conservation status,Quality
consumption,Eventuality
feeding relations,Eventuality
feed,Eventuality
feed on,Eventuality
eat,Eventuality
feeding,Eventuality
continental shelves,Aggregate_Biotic_Abiotic_Entity
crypsis,Quality
decomposer,Biotic_Entity
saprotroph,Biotic_Entity
break down,Eventuality
decomposition,Eventuality
defecation,Eventuality
density,Quality
depth,Quality
desert scrub,Aggregate_Biotic_Abiotic_Entity
detritus feeder,Biotic_Entity
desert scrub ecosystem,Aggregate_Biotic_Abiotic_Entity
detritivore,Biotic_Entity
detritivory,Eventuality
detritus,Aggregate_Biotic_Abiotic_Entity
development,Eventuality
developmental stage,Eventuality
diet,Quality
digestion,Eventuality
digestive system,Biotic_Entity
dioecious,Quality
disable,Eventuality
dissolved organic carbon,Biotic_Entity
DOC,Biotic_Entity
diversified,Eventuality
ecological efficiency,Quality
ecosystem,Aggregate_Biotic_Abiotic_Entity
ecological community,Aggregate_Biotic_Abiotic_Entity
network,Aggregate_Biotic_Abiotic_Entity
ecosystem engineer,Biotic_Entity
efficiency of transfer,Quality
egg,Biotic_Entity
egg predation,Eventuality
element,Abiotic_Entity
elimination,Eventuality
embryo,Biotic_Entity
endangered,Quality
endangered species,Biotic_Entity
energy,Abiotic_Entity
environment,Aggregate_Biotic_Abiotic_Entity
epipelagic zone,Aggregate_Biotic_Abiotic_Entity
escape,Eventuality
evolution,Eventuality
adaptation,Eventuality
evolutionary arms race,Eventuality
selective pressure,Eventuality
selection pressure,Eventuality
evolutionary pressure,Eventuality
excretia,Biotic_Entity
excretion,Eventuality
existence of a part,Quality
ectoparasite,Biotic_Entity
extinct,Eventuality
external parasite,Biotic_Entity
extinction,Eventuality
extra-cellular matrix,Biotic_Entity
exudate,Biotic_Entity
released,Eventuality
exudation,Eventuality
fatty acid,Biotic_Entity
fecal pellet,Biotic_Entity
feces,Biotic_Entity
feeding behavior,Eventuality
fetus,Biotic_Entity
fitness,Quality
food chain,Aggregate_Biotic_Abiotic_Entity
food particle,Biotic_Entity
food resource,Biotic_Entity
food source,Biotic_Entity
food size,Quality
food web,Aggregate_Biotic_Abiotic_Entity
consumer-resource system,Aggregate_Biotic_Abiotic_Entity
topological web,Aggregate_Biotic_Abiotic_Entity
food cycle,Aggregate_Biotic_Abiotic_Entity
web of life,Aggregate_Biotic_Abiotic_Entity
trophic system,Aggregate_Biotic_Abiotic_Entity
forage,Eventuality
forage,Biotic_Entity
fossil,Biotic_Entity
fossil organism,Biotic_Entity
frass,Biotic_Entity
free-living,Quality
freshwater,Quality
freshwater,Aggregate_Biotic_Abiotic_Entity
functional group,Biotic_Entity
fungal,Quality
fungi,Biotic_Entity
fungivore,Biotic_Entity
gamete,Biotic_Entity
generalist,Biotic_Entity
glycoprotein,Biotic_Entity
gonochorism,Quality
grain eater,Biotic_Entity
grass,Biotic_Entity
grazing - algae scraping,Eventuality
grazing - capture feeding,Eventuality
grazing - filter feeding,Eventuality
grazing - microbes,Eventuality
grazing - plants,Eventuality
gross primary production,Quality
gross primary productivity,Quality
grow,Eventuality
growing,Eventuality
grew,Eventuality
growth,Eventuality
growth respiration,Eventuality
guano,Biotic_Entity
heat,Abiotic_Entity
height,Quality
herbivore,Biotic_Entity
herbivorous,Quality
herbivorous browsing,Eventuality
herbivorous grazing,Eventuality
plant trophism,Eventuality
consumer,Biotic_Entity
complete heterotroph,Biotic_Entity
herbivory,Eventuality
heterotroph,Biotic_Entity
heterotrophic,Quality
host,Biotic_Entity
hot spring,Aggregate_Biotic_Abiotic_Entity
hunting,Eventuality
hydrothermal vent,Aggregate_Biotic_Abiotic_Entity
idea,Abiotic_Entity
ingestion,Eventuality
inorganic matter,Abiotic_Entity
inorganic substance,Abiotic_Entity
inorganic compound,Abiotic_Entity
inorganic material,Abiotic_Entity
insectivore,Biotic_Entity
insectivory,Eventuality
biotic interaction,Eventuality
interact,Eventuality
interaction,Eventuality
endoparasite,Biotic_Entity
